year,team_name,stage_rank,won_tournament,elo_pre_tournament,form_matches,form_win_rate,form_draw_rate,form_gd_per_game,form_gf_per_game,form_ga_per_game,form_points_per_game,squad_size,squad_avg_age,squad_min_age,squad_avg_exp,n_gk,n_def,n_mid,n_fwd,wc_appearances,best_stage_ever,is_host,won_last_wc
1938,Dutch East Indies,3,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19,25.0,22.392881587953458,0.0,0,4,5,8,0,0,0,0
1938,France,4,0,1500.0,11.0,0.45454545454545453,0.09090909090909091,-0.09090909090909091,1.9090909090909092,2.0,1.4545454545454546,22,26.3,22.297056810403834,0.5,0,5,5,9,2,3,1,0
1938,Germany,3,0,1500.0,16.0,0.6875,0.25,1.75,2.75,1.0,2.3125,22,26.4,19.318275154004105,0.5,0,5,5,9,1,6,0,0
1938,Hungary,7,0,1500.0,12.0,0.5833333333333334,0.25,1.9166666666666667,3.4166666666666665,1.5,2.0,22,27.0,19.055441478439427,0.5,0,3,7,9,1,4,0,0
1938,Italy,7,1,1500.0,8.0,0.75,0.25,2.0,2.5,0.5,2.5,22,26.4,22.12457221081451,0.18,0,3,9,7,1,7,0,1
1938,Netherlands,3,0,1500.0,9.0,0.4444444444444444,0.2222222222222222,0.7777777777777778,2.3333333333333335,1.5555555555555556,1.5555555555555556,22,25.3,18.38740588637919,0.36,0,4,5,11,1,3,0,0
1938,Norway,3,0,1500.0,10.0,0.4,0.1,-1.2,1.5,2.7,1.3,22,26.0,20.865160848733744,0.0,0,6,5,8,0,0,0,0
1938,Poland,3,0,1500.0,9.0,0.5555555555555556,0.2222222222222222,1.3333333333333333,2.888888888888889,1.5555555555555556,1.8888888888888888,22,24.7,17.300479123887747,0.0,0,4,6,10,0,0,0,0
1938,Romania,3,0,1500.0,6.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.6666666666666667,1.5,1.3333333333333333,22,25.9,20.39151266255989,0.41,0,4,5,10,2,3,0,0
1938,Sweden,6,0,1500.0,8.0,0.25,0.125,-0.5,2.125,2.625,0.875,22,26.2,21.117043121149898,0.14,0,4,5,11,1,4,0,0
1938,Switzerland,4,0,1500.0,16.0,0.25,0.1875,-0.5625,1.5625,2.125,0.9375,22,26.2,19.62217659137577,0.27,0,3,5,11,1,4,0,0
1950,Bolivia,1,0,1500.0,9.0,0.5555555555555556,0.0,-1.5555555555555556,1.6666666666666667,3.2222222222222223,1.6666666666666667,22,26.2,22.469541409993155,0.0,0,3,8,9,1,1,0,0
1950,Brazil,2,0,1500.0,12.0,0.75,0.08333333333333333,3.4166666666666665,4.75,1.3333333333333333,2.3333333333333335,22,27.4,22.573579739904176,0.0,0,4,6,10,3,6,1,0
1950,Chile,1,0,1500.0,11.0,0.36363636363636365,0.09090909090909091,-0.36363636363636365,1.6363636363636365,2.0,1.1818181818181819,22,25.0,19.485284052019164,0.0,0,6,5,9,1,1,0,0
1950,England,1,0,1500.0,11.0,0.7272727272727273,0.0,1.5454545454545454,3.090909090909091,1.5454545454545454,2.1818181818181817,21,28.9,24.88158795345654,0.0,0,6,5,8,0,0,0,0
1950,Italy,1,0,1500.0,7.0,0.5714285714285714,0.14285714285714285,0.8571428571428571,2.0,1.1428571428571428,1.8571428571428572,22,27.1,21.730321697467488,0.0,0,5,5,9,2,7,0,0
1950,Mexico,1,0,1500.0,4.0,1.0,0.0,3.75,4.25,0.5,3.0,22,26.2,21.045859000684462,0.0,0,6,7,7,1,1,0,0
1950,Paraguay,1,0,1500.0,13.0,0.5384615384615384,0.15384615384615385,0.23076923076923078,2.230769230769231,2.0,1.7692307692307692,22,25.3,19.45516769336071,0.0,0,5,4,11,1,1,0,0
1950,Spain,2,0,1500.0,7.0,0.42857142857142855,0.42857142857142855,1.2857142857142858,2.7142857142857144,1.4285714285714286,1.7142857142857142,22,27.6,23.59753593429158,0.0,0,6,6,7,1,4,0,0
1950,Sweden,2,0,1500.0,9.0,0.5555555555555556,0.2222222222222222,1.1111111111111112,3.111111111111111,2.0,1.8888888888888888,22,27.1,20.49828884325804,0.05,0,4,5,10,2,6,0,0
1950,Switzerland,1,0,1500.0,9.0,0.3333333333333333,0.1111111111111111,-0.4444444444444444,2.111111111111111,2.5555555555555554,1.1111111111111112,22,27.8,20.637919233401778,0.05,0,6,3,10,2,4,0,0
1950,United States,1,0,1500.0,5.0,0.2,0.2,-2.2,1.6,3.8,0.8,18,27.7,21.79876796714579,0.0,0,4,3,9,2,5,0,0
1950,Uruguay,2,1,1500.0,12.0,0.3333333333333333,0.08333333333333333,-0.3333333333333333,2.3333333333333335,2.6666666666666665,1.0833333333333333,22,25.6,19.88227241615332,0.0,0,6,4,10,1,7,0,0
1950,Yugoslavia,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,27.6,21.639972621492127,0.0,0,6,6,8,1,5,0,0
1954,Austria,6,0,1500.0,9.0,0.3333333333333333,0.3333333333333333,1.0,2.111111111111111,1.1111111111111112,1.3333333333333333,22,26.6,21.9958932238193,0.0,0,4,8,7,1,6,0,0
1954,Belgium,1,0,1500.0,14.0,0.5,0.2857142857142857,0.6428571428571429,1.9285714285714286,1.2857142857142858,1.7857142857142858,22,26.8,21.492128678986994,0.0,0,5,7,7,3,3,0,0
1954,Brazil,4,0,1500.0,11.0,0.7272727272727273,0.0,1.3636363636363635,2.272727272727273,0.9090909090909091,2.1818181818181817,22,26.0,20.361396303901437,0.27,0,6,5,8,4,6,0,0
1954,Czechoslovakia,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.2,20.21902806297057,0.0,0,4,5,10,2,7,0,0
1954,England,4,0,1500.0,12.0,0.4166666666666667,0.16666666666666666,-0.16666666666666666,2.25,2.4166666666666665,1.4166666666666667,22,28.7,19.66324435318275,0.23,0,3,7,10,1,1,0,0
1954,France,1,0,1500.0,11.0,0.45454545454545453,0.09090909090909091,1.1818181818181819,3.0,1.8181818181818181,1.4545454545454546,22,26.0,21.61533196440794,0.0,0,5,5,9,3,4,0,0
1954,Hungary,7,0,1500.0,11.0,0.7272727272727273,0.2727272727272727,2.090909090909091,3.272727272727273,1.1818181818181819,2.4545454545454546,22,26.6,21.691991786447637,0.0,0,5,5,9,2,7,0,0
1954,Italy,1,0,1500.0,7.0,0.7142857142857143,0.0,1.0,2.142857142857143,1.1428571428571428,2.142857142857143,22,26.7,21.22108145106092,0.32,0,4,6,9,3,7,0,0
1954,Mexico,1,0,1500.0,4.0,1.0,0.0,4.5,4.75,0.25,3.0,22,26.1,19.29637234770705,0.23,0,5,4,11,2,1,0,0
1954,Scotland,1,0,1500.0,8.0,0.375,0.375,0.125,1.875,1.75,1.5,22,26.7,20.629705681040384,0.0,0,5,3,12,0,0,0,0
1954,South Korea,1,0,1500.0,14.0,0.42857142857142855,0.2857142857142857,0.35714285714285715,2.642857142857143,2.2857142857142856,1.5714285714285714,20,30.1,22.921286789869953,0.0,0,5,5,8,0,0,0,0
1954,Switzerland,4,0,1500.0,10.0,0.3,0.2,-0.8,1.9,2.7,1.1,22,27.3,20.739219712525667,0.32,0,4,7,8,3,4,1,0
1954,Turkey,1,0,1500.0,5.0,0.4,0.4,-0.2,1.6,1.8,1.6,22,23.8,19.148528405201915,0.0,0,8,3,8,0,0,0,0
1954,Uruguay,6,0,1500.0,11.0,0.45454545454545453,0.2727272727272727,1.1818181818181819,2.6363636363636362,1.4545454545454546,1.6363636363636365,22,27.0,19.857631759069132,0.36,0,4,6,10,2,7,0,1
1954,West Germany,7,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,28.1,20.859685147159478,0.0,0,6,5,8,0,0,0,0
1954,Yugoslavia,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,27.0,20.410677618069816,0.36,0,7,5,8,2,5,0,0
1958,Argentina,1,0,1500.0,19.0,0.631578947368421,0.10526315789473684,1.631578947368421,2.4210526315789473,0.7894736842105263,2.0,22,28.2,21.295003422313485,0.0,0,8,2,10,2,7,0,0
1958,Austria,1,0,1500.0,12.0,0.5833333333333334,0.25,0.9166666666666666,2.4166666666666665,1.5,2.0,22,27.6,20.046543463381244,0.5,0,6,4,9,2,6,0,0
1958,Brazil,7,1,1500.0,18.0,0.6111111111111112,0.16666666666666666,1.6111111111111112,2.5555555555555554,0.9444444444444444,2.0,22,25.8,17.623545516769337,0.32,0,6,6,8,5,6,0,0
1958,Czechoslovakia,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.4,20.093086926762492,0.36,0,6,4,9,3,7,0,0
1958,England,1,0,1500.0,11.0,0.6363636363636364,0.18181818181818182,1.3636363636363635,2.6363636363636362,1.2727272727272727,2.090909090909091,22,25.2,20.580424366872005,0.23,0,5,4,10,2,4,0,0
1958,France,6,0,1500.0,8.0,0.25,0.5,0.75,2.125,1.375,1.25,22,28.0,21.347022587268995,0.41,0,5,8,6,4,4,0,0
1958,Hungary,1,0,1500.0,10.0,0.5,0.2,1.0,1.8,0.8,1.7,22,27.1,21.78781656399726,0.27,0,6,3,11,3,7,0,0
1958,Mexico,1,0,1500.0,6.0,0.8333333333333334,0.16666666666666666,3.0,3.5,0.5,2.6666666666666665,22,26.9,20.520191649555098,0.32,0,6,5,8,3,1,0,0
1958,Northern Ireland,4,0,1500.0,9.0,0.3333333333333333,0.5555555555555556,0.4444444444444444,1.4444444444444444,1.0,1.5555555555555556,22,27.1,20.306639288158795,0.0,0,5,3,11,0,0,0,0
