year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
2018,P-46107,Morocco,2,1,center forward,0,0,0,El Kaabi,Ayoub,Ayoub El Kaabi,25.0,0,False,False,False
2018,P-46176,Japan,3,3,center back,0,0,0,Shoji,Gen,Gen Shoji,25.5,0,False,False,False
2018,P-46272,Portugal,3,3,right back,0,0,0,Cédric,not applicable,not applicable Cédric,26.8,0,False,False,False
2018,P-46403,Serbia,3,3,goal keeper,0,0,0,Stojković,Vladimir,Vladimir Stojković,34.9,2,False,False,False
2018,P-46506,Sweden,2,1,center back,0,0,0,Jansson,Pontus,Pontus Jansson,27.3,0,False,False,False
2018,P-46553,Morocco,3,3,right midfielder,0,0,0,Boussoufa,Mbark,Mbark Boussoufa,33.8,0,False,False,False
2018,P-46785,Uruguay,5,5,center midfielder,0,0,0,Vecino,Matías,Matías Vecino,26.8,0,False,False,False
2018,P-47137,Iran,3,3,center back,0,0,0,Rezaeian,Ramin,Ramin Rezaeian,28.2,0,False,False,False
2018,P-47321,Senegal,3,3,center back,0,0,0,Koulibaly,Kalidou,Kalidou Koulibaly,27.0,0,False,False,False
2018,P-47386,Uruguay,5,3,midfielder,0,0,0,Torreira,Lucas,Lucas Torreira,22.3,0,False,False,False
2018,P-47440,South Korea,2,2,center midfielder,0,0,0,Koo,Ja-cheol,Ja-cheol Koo,29.3,1,False,False,False
2018,P-47815,Tunisia,3,3,center midfielder,0,0,0,Skhiri,Ellyes,Ellyes Skhiri,23.1,0,False,False,False
2018,P-47833,Peru,3,3,right back,0,0,0,Advíncula,Luis,Luis Advíncula,28.3,0,False,False,False
2018,P-47851,Russia,4,3,defender,0,0,0,Kudryashov,Fyodor,Fyodor Kudryashov,31.2,0,False,False,False
2018,P-47906,Belgium,4,2,midfielder,0,0,0,Tielemans,Youri,Youri Tielemans,21.1,0,False,False,False
2018,P-48433,South Korea,2,2,center midfielder,0,0,0,Ki,Sung-yueng,Sung-yueng Ki,29.4,2,False,False,False
2018,P-48480,England,5,2,defender,0,0,0,Rose,Danny,Danny Rose,28.0,0,False,False,False
2018,P-48737,Germany,1,1,center back,0,0,0,Süle,Niklas,Niklas Süle,22.8,0,False,False,False
2018,P-48955,Belgium,6,6,center midfielder,1,0,1,De Bruyne,Kevin,Kevin De Bruyne,27.0,1,False,False,False
2018,P-48976,Iceland,1,0,midfielder,0,0,0,Traustason,Arnór Ingvi,Arnór Ingvi Traustason,25.1,0,False,False,False
2018,P-49114,Argentina,4,4,center back,0,0,0,Otamendi,Nicolás,Nicolás Otamendi,30.3,1,False,False,False
2018,P-49997,Brazil,3,0,midfielder,1,0,1,Augusto,Renato,Renato Augusto,30.3,0,False,False,False
2018,P-50104,Denmark,4,4,center midfielder,1,0,1,Eriksen,Christian,Christian Eriksen,26.3,1,False,False,False
2018,P-50679,Germany,3,0,midfielder,0,0,0,Brandt,Julian,Julian Brandt,22.1,0,False,False,False
2018,P-50801,Egypt,1,0,midfielder,0,0,0,Morsy,Sam,Sam Morsy,26.8,0,False,False,False
2018,P-50943,England,1,0,forward,0,0,0,Welbeck,Danny,Danny Welbeck,27.5,1,False,False,False
2018,P-51118,Australia,3,3,left back,0,0,0,Behich,Aziz,Aziz Behich,27.5,0,False,False,False
2018,P-51201,Germany,1,1,center back,0,0,0,Rüdiger,Antonio,Antonio Rüdiger,25.3,0,False,False,False
2018,P-51786,Russia,3,3,left back,0,0,0,Zhirkov,Yuri,Yuri Zhirkov,34.8,1,False,False,False
2018,P-51960,Senegal,2,0,midfielder,0,0,0,N'Doye,Cheikh,Cheikh N'Doye,32.2,0,False,False,False
2018,P-52217,Spain,4,4,goal keeper,0,0,0,de Gea,David,David de Gea,27.6,1,False,False,False
2018,P-52418,Spain,4,4,attacking midfielder,1,0,1,Isco,not applicable,not applicable Isco,26.1,0,False,False,False
2018,P-52444,Panama,2,0,forward,0,0,0,Arroyo,Abdiel,Abdiel Arroyo,24.5,0,False,False,False
2018,P-53048,Belgium,6,6,center midfielder,0,0,0,Witsel,Axel,Axel Witsel,29.4,1,False,False,False
2018,P-53270,Morocco,2,2,center back,0,0,0,Benatia,Medhi,Medhi Benatia,31.2,0,False,False,False
2018,P-53272,Japan,4,4,goal keeper,0,0,0,Kawashima,Eiji,Eiji Kawashima,35.2,2,False,False,False
2018,P-53385,Panama,1,0,defender,0,0,0,Cummings,Harold,Harold Cummings,26.3,0,False,False,False
2018,P-53701,Peru,3,3,left back,0,0,0,Trauco,Miguel,Miguel Trauco,25.8,0,False,False,False
2018,P-53957,Iran,3,2,right midfielder,1,1,0,Ansarifard,Karim,Karim Ansarifard,28.2,1,False,False,False
2018,P-54013,Brazil,5,5,center midfielder,1,0,1,Paulinho,not applicable,not applicable Paulinho,29.9,1,False,False,False
2018,P-54137,Morocco,1,0,midfielder,0,0,0,Carcela,Mehdi,Mehdi Carcela,29.0,0,False,False,False
2018,P-54138,Japan,3,3,right winger,1,0,1,Haraguchi,Genki,Genki Haraguchi,27.1,0,False,False,False
2018,P-54461,France,5,2,center midfielder,0,0,0,Tolisso,Corentin,Corentin Tolisso,23.9,0,False,False,False
2018,P-54492,Serbia,2,2,center back,0,0,0,Tošić,Duško,Duško Tošić,33.4,0,False,False,False
2018,P-54713,Switzerland,4,4,center midfielder,0,0,0,Behrami,Valon,Valon Behrami,33.2,3,False,False,False
2018,P-55140,Senegal,3,1,midfielder,0,0,0,Kouyaté,Cheikhou,Cheikhou Kouyaté,28.5,0,False,False,False
2018,P-55236,Nigeria,2,0,forward,0,0,0,Nwankwo,Simeon,Simeon Nwankwo,26.1,0,False,False,False
2018,P-55298,Senegal,3,3,left back,0,0,0,Sabaly,Youssouf,Youssouf Sabaly,25.3,0,False,False,False
2018,P-55710,Tunisia,2,1,goal keeper,0,0,0,Ben Mustapha,Farouk,Farouk Ben Mustapha,29.0,0,False,False,False
2018,P-56280,England,1,1,center back,0,0,0,Cahill,Gary,Gary Cahill,32.5,1,False,False,False
2018,P-56297,Croatia,7,6,center back,0,0,0,Lovren,Dejan,Dejan Lovren,28.9,1,False,False,False
2018,P-56330,Spain,4,3,left winger,0,0,0,Iniesta,Andrés,Andrés Iniesta,34.1,3,False,False,False
2018,P-56398,Japan,4,4,right back,0,0,0,Sakai,Hiroki,Hiroki Sakai,28.2,1,False,False,False
2018,P-56647,Peru,2,1,defender,0,0,0,Santamaría,Anderson,Anderson Santamaría,26.4,0,False,False,False
2018,P-57157,Poland,2,2,center midfielder,0,0,0,Góralski,Jacek,Jacek Góralski,25.7,0,False,False,False
2018,P-57303,Tunisia,1,1,goal keeper,0,0,0,Hassen,Mouez,Mouez Hassen,23.3,0,False,False,False
2018,P-57411,Senegal,3,2,right back,1,0,1,Wagué,Moussa,Moussa Wagué,19.7,0,False,False,False
2018,P-57476,Poland,1,1,goal keeper,0,0,0,Fabiański,Łukasz,Łukasz Fabiański,33.2,1,False,False,False
2018,P-57494,Poland,1,1,right winger,0,0,0,Błaszczykowski,Jakub,Jakub Błaszczykowski,32.5,0,False,False,False
